datetime,tensao_painel,tensao_motor,corrente_motor,estado_bateria,temperatura_painel,posicao_angular,tcu_fk
2024-07-24T13:50:16.292266+00:00,0.0,2.53,0.92,27.64,24.12,48.5,AC1F09FFFE0B30FE
2024-07-24T13:49:28.832970+00:00,0.0,2.47,0.95,27.52,23.88,43.5,AC1F09FFFE0B30FE
2024-07-24T13:49:13.875481+00:00,0.0,2.54,1.01,27.71,23.88,29.5,AC1F09FFFE0B30FE
2024-07-24T13:48:57.268228+00:00,0.0,2.49,0.95,27.62,24.0,15.75,AC1F09FFFE0B30FE
2024-07-24T13:48:41.583807+00:00,0.0,2.54,1.01,27.72,23.88,2.0,AC1F09FFFE0B30FE
2024-07-24T13:48:25.346562+00:00,0.0,2.43,1.01,27.41,23.88,-12.62,AC1F09FFFE0B30FE
2024-07-24T13:48:09.302829+00:00,0.0,2.54,0.95,27.71,24.0,-27.62,AC1F09FFFE0B30FE
2024-07-24T13:47:52.876764+00:00,0.0,2.54,0.95,27.72,23.88,-42.25,AC1F09FFFE0B30FE
2024-07-24T13:47:22.447770+00:00,0.0,2.53,0.97,27.68,23.88,-52.25,AC1F09FFFE0B30FE
2024-07-24T13:47:06.381672+00:00,0.0,2.53,0.94,27.67,23.88,-37.75,AC1F09FFFE0B30FE
2024-07-24T13:46:48.504523+00:00,0.0,2.51,1.01,27.6,23.88,-23.25,AC1F09FFFE0B30FE
2024-07-24T13:46:32.482934+00:00,0.0,2.5,1.01,27.55,23.88,-8.94,AC1F09FFFE0B30FE
2024-07-24T13:46:16.338095+00:00,0.0,2.5,0.95,27.56,23.88,5.62,AC1F09FFFE0B30FE
2024-07-24T13:46:00.582477+00:00,0.0,2.53,0.95,27.64,23.88,19.25,AC1F09FFFE0B30FE
2024-07-24T13:44:26.334319+00:00,0.0,2.46,1.01,27.49,23.5,52.5,AC1F09FFFE0B30FE
2024-07-24T13:44:08.752490+00:00,0.0,2.52,1.02,27.72,23.5,38.5,AC1F09FFFE0B30FE
2024-07-24T13:43:52.463031+00:00,0.0,2.51,0.95,27.72,23.5,24.88,AC1F09FFFE0B30FE
2024-07-24T13:43:36.133109+00:00,0.0,2.56,1.02,27.76,23.5,11.12,AC1F09FFFE0B30FE
2024-07-24T13:43:20.323449+00:00,0.0,2.5,1.02,27.71,23.5,-3.16,AC1F09FFFE0B30FE
2024-07-24T13:43:05.106710+00:00,0.0,2.47,0.95,27.63,23.5,-17.25,AC1F09FFFE0B30FE
2024-07-24T13:42:18.778590+00:00,0.0,2.58,0.93,27.8,23.62,-55.0,AC1F09FFFE0B30FE
2024-07-24T13:42:09.674585+00:00,0.0,2.57,1.02,27.8,23.5,-55.0,AC1F09FFFE0B30FE
2024-07-24T13:41:47.074991+00:00,0.0,2.56,0.96,27.76,23.5,-44.75,AC1F09FFFE0B30FE
2024-07-24T13:40:49.373266+00:00,0.0,2.59,0.93,27.83,23.5,-23.5,AC1F09FFFE0B30FE
2024-07-24T13:40:25.840461+00:00,0.0,2.58,0.93,27.84,23.5,-23.5,AC1F09FFFE0B30FE
